wavelength,reflectance,error
0.405,0.421,0.750
0.415,1.600,0.478
0.425,-0.182,0.541
0.435,1.223,0.426
0.445,0.505,0.382
0.455,0.847,0.299
0.465,0.828,0.225
0.475,0.960,0.193
0.485,0.958,0.207
0.495,0.883,0.125
0.505,1.052,0.106
0.515,0.790,0.131
0.525,0.894,0.161
0.535,0.817,0.144
0.545,0.834,0.101
0.555,1.064,0.132
0.565,1.143,0.171
0.575,1.037,0.108
0.585,1.083,0.119
0.595,1.532,0.109
0.605,1.188,0.106
0.615,1.157,0.084
0.625,1.160,0.078
0.635,1.022,0.167
0.645,1.236,0.072
0.655,1.165,0.074
0.665,1.366,0.086
0.675,1.474,0.107
0.685,1.244,0.159
0.695,1.271,0.126
0.705,1.240,0.085
0.715,1.295,0.074
0.725,1.701,0.218
0.735,1.446,0.174
0.745,1.391,0.132
0.755,1.222,0.189
0.765,1.754,0.250
0.775,1.157,0.223
0.785,1.538,0.166
0.795,1.385,0.249
0.805,1.224,0.132
0.815,1.430,0.089
0.825,1.603,0.178
0.835,2.162,0.271
0.845,1.517,0.370
0.855,1.517,0.217
0.865,1.459,0.263
0.875,1.676,0.350
0.885,1.219,0.527
0.895,0.541,0.463
