wavelength,reflectance,error
0.350,1.204,0.250
0.360,0.585,0.211
0.370,0.578,0.153
0.380,0.835,0.140
0.390,0.786,0.114
0.400,0.753,0.101
0.410,0.805,0.075
0.420,0.971,0.073
0.430,0.867,0.079
0.440,0.979,0.056
0.450,0.827,0.064
0.460,0.957,0.053
0.470,0.888,0.047
0.480,0.923,0.056
0.490,0.855,0.051
0.500,0.961,0.043
0.510,0.925,0.054
0.520,0.905,0.052
0.530,1.026,0.044
0.540,0.983,0.047
0.550,0.950,0.071
0.560,0.810,0.153
0.570,1.143,0.110
0.580,1.192,0.111
0.590,1.087,0.107
0.600,1.044,0.100
0.610,1.191,0.081
0.620,1.307,0.091
0.630,1.076,0.073
0.640,1.035,0.092
0.650,1.141,0.064
0.660,1.179,0.069
0.670,1.196,0.070
0.680,1.173,0.063
0.690,1.060,0.076
0.700,1.136,0.066
0.710,1.344,0.052
0.720,1.153,0.068
0.730,1.176,0.070
0.740,1.139,0.053
0.750,1.189,0.065
0.760,1.134,0.111
0.770,1.157,0.063
0.780,1.283,0.065
0.790,1.268,0.079
0.800,1.180,0.074
0.810,1.171,0.059
0.820,1.313,0.060
0.830,1.190,0.081
0.840,1.302,0.079
0.850,1.196,0.066
0.860,1.278,0.073
0.870,1.104,0.082
0.880,1.250,0.100
0.890,1.302,0.083
0.900,1.162,0.069
0.910,1.344,0.071
0.920,1.341,0.088
0.930,1.401,0.134
0.940,1.402,0.155
0.950,1.334,0.127
0.960,1.454,0.120
0.970,1.696,0.181
0.980,1.667,0.238
0.990,1.496,0.317
1.004,1.440,0.859
1.024,0.974,0.364
1.044,1.616,0.197
1.064,1.743,0.184
1.084,2.074,0.187
1.104,1.426,0.170
1.124,1.807,0.276
1.144,1.168,0.220
1.164,1.234,0.214
1.184,1.643,0.190
1.204,1.273,0.235
1.224,1.960,0.223
1.244,1.396,0.208
1.264,0.501,0.603
1.284,2.032,0.600
1.304,1.777,0.172
1.324,2.119,0.196
1.441,2.079,0.291
1.461,1.190,0.278
1.481,1.170,0.344
1.501,1.319,0.319
1.521,1.494,0.216
1.541,2.324,0.263
1.561,1.818,0.221
1.581,1.362,0.459
1.601,1.997,0.228
1.621,1.285,0.240
1.641,1.182,0.310
1.661,1.526,0.200
1.681,1.616,0.225
1.701,1.676,0.201
1.721,1.134,0.263
1.741,0.855,0.254
1.761,1.738,0.242
1.781,1.902,0.249
